altura,f05_entropy,f05_gini
9,0.959669554901,0.964683797295
10,0.967774038663,0.969033990534
11,0.971794088045,0.97329733817
12,0.976185541825,0.975251484897
13,0.977809204621,0.976744492648
14,0.978407542191,0.977549524321
