mean_score,std dev score, max_features, min_samples_split, criterion, max_depth, min_samples_leaf
0.96442546125,0.00241599106673,None,2,gini,9,2
0.964191572143,0.00256049836897,None,16,gini,9,2
0.962345948237,0.00249371516795,None,64,gini,9,2
0.936073403869,0.00613494667627,None,512,gini,9,2
0.935286607062,0.0023500442586,None,1024,gini,9,2
0.919213424315,0.00228336815216,None,2048,gini,9,2
0.899413479308,0.0109706516626,None,4096,gini,9,2
0.854340439071,0.00243502292572,None,8192,gini,9,2
0.854145654846,0.00201147080584,None,16384,gini,9,2
0.963249478805,0.0034618002405,None,2,gini,9,16
0.963264888471,0.00358203033901,None,16,gini,9,16
0.962165055067,0.00292984654654,None,64,gini,9,16
0.935841228824,0.00633034057632,None,512,gini,9,16
0.935127335098,0.00241917691251,None,1024,gini,9,16
0.919017775355,0.00237205020009,None,2048,gini,9,16
0.899300694379,0.011105824583,None,4096,gini,9,16
0.854289696774,0.00248156246801,None,8192,gini,9,16
0.854145654846,0.00201147080584,None,16384,gini,9,16
0.951812461029,0.00217766735319,None,2,gini,9,64
0.951812461029,0.00217766735319,None,16,gini,9,64
0.951812461029,0.00217766735319,None,64,gini,9,64
0.934964737958,0.00604515070175,None,512,gini,9,64
0.935143546731,0.00255767892858,None,1024,gini,9,64
0.91907934013,0.00241408426264,None,2048,gini,9,64
0.898785513153,0.0110700559823,None,4096,gini,9,64
0.853702638485,0.00262120923137,None,8192,gini,9,64
0.854145654846,0.00201147080584,None,16384,gini,9,64
0.918991741422,0.00614046128251,None,2,gini,9,512
0.918991741422,0.00614046128251,None,16,gini,9,512
0.918991741422,0.00614046128251,None,64,gini,9,512
0.918991741422,0.00614046128251,None,512,gini,9,512
0.918991741422,0.00614046128251,None,1024,gini,9,512
0.905988470932,0.00279105305563,None,2048,gini,9,512
0.899225965863,0.0104494354668,None,4096,gini,9,512
0.854145654846,0.00201147080584,None,8192,gini,9,512
0.854145654846,0.00201147080584,None,16384,gini,9,512
0.926707418508,0.00188741674438,None,2,gini,9,1024
0.926707418508,0.00188741674438,None,16,gini,9,1024
0.926707418508,0.00188741674438,None,64,gini,9,1024
0.926707418508,0.00188741674438,None,512,gini,9,1024
0.926707418508,0.00188741674438,None,1024,gini,9,1024
0.926707418508,0.00188741674438,None,2048,gini,9,1024
0.89291003534,0.0106470858317,None,4096,gini,9,1024
0.854145654846,0.00201147080584,None,8192,gini,9,1024
0.854145654846,0.00201147080584,None,16384,gini,9,1024
0.861843963076,0.0121708828755,None,2,gini,9,2048
0.861843963076,0.0121708828755,None,16,gini,9,2048
0.861843963076,0.0121708828755,None,64,gini,9,2048
0.861843963076,0.0121708828755,None,512,gini,9,2048
0.861843963076,0.0121708828755,None,1024,gini,9,2048
0.861843963076,0.0121708828755,None,2048,gini,9,2048
0.861843963076,0.0121708828755,None,4096,gini,9,2048
0.854145654846,0.00201147080584,None,8192,gini,9,2048
0.854145654846,0.00201147080584,None,16384,gini,9,2048
0.854145654846,0.00201147080584,None,2,gini,9,4096
0.854145654846,0.00201147080584,None,16,gini,9,4096
0.854145654846,0.00201147080584,None,64,gini,9,4096
0.854145654846,0.00201147080584,None,512,gini,9,4096
0.854145654846,0.00201147080584,None,1024,gini,9,4096
0.854145654846,0.00201147080584,None,2048,gini,9,4096
0.854145654846,0.00201147080584,None,4096,gini,9,4096
0.854145654846,0.00201147080584,None,8192,gini,9,4096
0.854145654846,0.00201147080584,None,16384,gini,9,4096
0.854145654846,0.00201147080584,None,2,gini,9,8192
0.854145654846,0.00201147080584,None,16,gini,9,8192
0.854145654846,0.00201147080584,None,64,gini,9,8192
0.854145654846,0.00201147080584,None,512,gini,9,8192
0.854145654846,0.00201147080584,None,1024,gini,9,8192
0.854145654846,0.00201147080584,None,2048,gini,9,8192
0.854145654846,0.00201147080584,None,4096,gini,9,8192
0.854145654846,0.00201147080584,None,8192,gini,9,8192
0.854145654846,0.00201147080584,None,16384,gini,9,8192
0.847312460823,0.00835717451844,None,2,gini,9,16384
0.847312460823,0.00835717451844,None,16,gini,9,16384
0.847312460823,0.00835717451844,None,64,gini,9,16384
0.847312460823,0.00835717451844,None,512,gini,9,16384
0.847312460823,0.00835717451844,None,1024,gini,9,16384
0.847312460823,0.00835717451844,None,2048,gini,9,16384
0.847312460823,0.00835717451844,None,4096,gini,9,16384
0.847312460823,0.00835717451844,None,8192,gini,9,16384
0.847312460823,0.00835717451844,None,16384,gini,9,16384
0.940804653831,0.00722071350919,sqrt,2,gini,9,2
0.94334391977,0.00472444024538,sqrt,16,gini,9,2
0.93592140347,0.00569175748309,sqrt,64,gini,9,2
0.914407163477,0.0108837775462,sqrt,512,gini,9,2
0.903082450661,0.00509476627329,sqrt,1024,gini,9,2
0.893533930313,0.0182935215493,sqrt,2048,gini,9,2
0.874222352972,0.0139965402156,sqrt,4096,gini,9,2
0.859129291559,0.0150571424644,sqrt,8192,gini,9,2
0.82442746566,0.0198749608889,sqrt,16384,gini,9,2
0.939964609638,0.00936363160759,sqrt,2,gini,9,16
0.925595970466,0.00742329053192,sqrt,16,gini,9,16
0.934270330718,0.00215572966241,sqrt,64,gini,9,16
0.916542568558,0.0050181385474,sqrt,512,gini,9,16
0.906841661569,0.0100675856983,sqrt,1024,gini,9,16
0.896139106479,0.0182121506584,sqrt,2048,gini,9,16
0.876414433628,0.00690863563685,sqrt,4096,gini,9,16
0.84189155303,0.00499068828341,sqrt,8192,gini,9,16
0.821675741144,0.0223444361752,sqrt,16384,gini,9,16
0.921391819047,0.00748110295611,sqrt,2,gini,9,64
0.92775935993,0.00615267881253,sqrt,16,gini,9,64
0.92718082622,0.00323843202327,sqrt,64,gini,9,64
0.912127403163,0.00816117679369,sqrt,512,gini,9,64
0.907758499362,0.00914500879666,sqrt,1024,gini,9,64
0.880045044581,0.0159186957516,sqrt,2048,gini,9,64
0.877015508728,0.0129277123692,sqrt,4096,gini,9,64
0.849477101741,0.0236703308346,sqrt,8192,gini,9,64
0.807894407916,0.0537046087248,sqrt,16384,gini,9,64
0.884872887599,0.0107818582771,sqrt,2,gini,9,512
0.886322328271,0.0127771085919,sqrt,16,gini,9,512
0.884480873154,0.0118108257166,sqrt,64,gini,9,512
0.883381587802,0.00606796421158,sqrt,512,gini,9,512
0.865004523054,0.00868718455089,sqrt,1024,gini,9,512
0.875229658848,0.0179427749627,sqrt,2048,gini,9,512
0.868068917806,0.00797255434925,sqrt,4096,gini,9,512
0.832564966676,0.0110658883903,sqrt,8192,gini,9,512
0.849427501476,0.026703322774,sqrt,16384,gini,9,512
0.862080329433,0.0107693635994,sqrt,2,gini,9,1024
0.875284750671,0.0195662419143,sqrt,16,gini,9,1024
0.866227835726,0.0218371397692,sqrt,64,gini,9,1024
0.850844025663,0.0141557214159,sqrt,512,gini,9,1024
0.841162103774,0.0191341802477,sqrt,1024,gini,9,1024
0.867785648614,0.015324498303,sqrt,2048,gini,9,1024
0.862553042172,0.0188802507214,sqrt,4096,gini,9,1024
0.831201620319,0.0243134880391,sqrt,8192,gini,9,1024
0.852868221435,0.00941115932175,sqrt,16384,gini,9,1024
0.849798147996,0.0199594869357,sqrt,2,gini,9,2048
0.846828431436,0.0242514904427,sqrt,16,gini,9,2048
0.851875318816,0.00899229727006,sqrt,64,gini,9,2048
0.83309153047,0.0234694367036,sqrt,512,gini,9,2048
0.839566139099,0.0139150244483,sqrt,1024,gini,9,2048
0.852587265333,0.00742804606332,sqrt,2048,gini,9,2048
0.849093985066,0.0201260692516,sqrt,4096,gini,9,2048
0.856735041031,0.025234101458,sqrt,8192,gini,9,2048
0.833787765342,0.027399621032,sqrt,16384,gini,9,2048
0.832889331675,0.0324729756163,sqrt,2,gini,9,4096
0.821051913541,0.0224077457652,sqrt,16,gini,9,4096
0.816114377867,0.0192859431174,sqrt,64,gini,9,4096
0.8169316376,0.0249737099974,sqrt,512,gini,9,4096
0.861343347965,0.0201880843466,sqrt,1024,gini,9,4096
0.81665617292,0.0308434285088,sqrt,2048,gini,9,4096
0.827885107564,0.0281992473058,sqrt,4096,gini,9,4096
0.817274991866,0.0301306696212,sqrt,8192,gini,9,4096
0.806237698631,0.0220923345661,sqrt,16384,gini,9,4096
0.829030083682,0.0341207677984,sqrt,2,gini,9,8192
0.788235719257,0.00651661888416,sqrt,16,gini,9,8192
0.814993340587,0.0293681778105,sqrt,64,gini,9,8192
0.823968357812,0.0197068099708,sqrt,512,gini,9,8192
0.813960549194,0.0290587029245,sqrt,1024,gini,9,8192
0.80328917963,0.0249157504239,sqrt,2048,gini,9,8192
0.815827733664,0.0314352090031,sqrt,4096,gini,9,8192
0.813960549194,0.0290587029245,sqrt,8192,gini,9,8192
0.802046104692,0.0240457703179,sqrt,16384,gini,9,8192
0.576476225085,0.0506295380917,sqrt,2,gini,9,16384
0.741364022746,0.112431119231,sqrt,16,gini,9,16384
0.842081564567,0.00904419743549,sqrt,64,gini,9,16384
0.751637893901,0.0983906510931,sqrt,512,gini,9,16384
0.649614419184,0.0918688598515,sqrt,1024,gini,9,16384
0.755578103586,0.123514793009,sqrt,2048,gini,9,16384
0.66889031519,0.0783291046801,sqrt,4096,gini,9,16384
0.840404352309,0.00780016117285,sqrt,8192,gini,9,16384
0.771415233736,0.115579715414,sqrt,16384,gini,9,16384
