altura,f05_best,f05_random
9,0.96450583542,0.928036850469
10,0.969149878713,0.934904091322
11,0.973517660417,0.93831999609
12,0.975346276823,0.950537288234
13,0.976570811865,0.959958264776
14,0.977412908927,0.967158541751
