n,taining_data_set,cross_validation
1,1.0,0.922800553624
2,1.0,0.951580555052
3,0.957737055347,0.920655362239
4,0.969142095358,0.939924817968
5,0.944103791221,0.916592784977
6,0.9542409845,0.930989054977
7,0.9349880024,0.91412457446
8,0.94433021686,0.925933329802
9,0.929316905919,0.912375347033
10,0.937057526403,0.922087960858
11,0.925010394225,0.909861149156
12,0.932013636011,0.917216793235
13,0.921538927598,0.907279997456
14,0.927385972378,0.915211259169
