min_split,f05_altura_9,f05_altura_15
2,0.95843885284,0.974378728975
4,0.958443006497,0.974211186718
8,0.958469487731,0.973677997102
16,0.958188496999,0.972529514236
32,0.957427746234,0.970313806693
64,0.955450397516,0.96584466043
128,0.952498246947,0.959396294701
256,0.944923224881,0.948741384394
512,0.924811875426,0.926825558175
