mean_score,std dev score, max_features
0.984991763571,0.00173766953875,0.5,35
0.984867618299,0.00154927515976,0.5,36
0.984030102484,0.00204649229831,0.5,37
0.984435677487,0.0022399558888,0.5,38
0.984453698778,0.00166695626871,0.5,39
0.984593007189,0.00231404831637,0.5,40
0.979958053879,0.00209792551479,sqrt,35
0.979868227043,0.00245765683655,sqrt,36
0.980011348067,0.00188198136823,sqrt,37
0.9804487524,0.00200397808038,sqrt,38
0.979607036232,0.00179132393412,sqrt,39
0.980229189523,0.00210897777676,sqrt,40
0.9733190463,0.00278446609524,log2,35
0.973183540131,0.00222038822179,log2,36
0.974464450483,0.00277134340218,log2,37
0.97337227081,0.00286661329537,log2,38
0.973088397624,0.00261447662127,log2,39
0.973061235708,0.00257710616732,log2,40
