mean_score,std dev score, n_neighbors,weights, leaf_size, algorithm, p
0.940556513687,0.00101833516578,1,uniform,20,ball_tree,1
0.940556513687,0.00101833516578,1,distance,20,ball_tree,1
0.91913067796,0.00182767996843,1,uniform,20,ball_tree,2
0.91913067796,0.00182767996843,1,distance,20,ball_tree,2
0.94933997888,0.00200581240742,2,uniform,20,ball_tree,1
0.940556513687,0.00101833516578,2,distance,20,ball_tree,1
0.930683148125,0.00238641648645,2,uniform,20,ball_tree,2
0.91913067796,0.00182767996843,2,distance,20,ball_tree,2
0.944195063969,0.00134164472413,4,uniform,20,ball_tree,1
0.94240724083,0.00135483906353,4,distance,20,ball_tree,1
0.924794429806,0.00225262437843,4,uniform,20,ball_tree,2
0.923116588366,0.00240739227239,4,distance,20,ball_tree,2
0.93906324557,0.00119802125871,6,uniform,20,ball_tree,1
0.942787143743,0.000709845321293,6,distance,20,ball_tree,1
0.916827813743,0.00222643647621,6,uniform,20,ball_tree,2
0.920576827271,0.00242686914597,6,distance,20,ball_tree,2
0.940556513687,0.00101833516578,1,uniform,30,ball_tree,1
0.940556513687,0.00101833516578,1,distance,30,ball_tree,1
0.91913067796,0.00182767996843,1,uniform,30,ball_tree,2
0.91913067796,0.00182767996843,1,distance,30,ball_tree,2
0.94933997888,0.00200581240742,2,uniform,30,ball_tree,1
0.940556513687,0.00101833516578,2,distance,30,ball_tree,1
0.930683148125,0.00238641648645,2,uniform,30,ball_tree,2
0.91913067796,0.00182767996843,2,distance,30,ball_tree,2
0.944195063969,0.00134164472413,4,uniform,30,ball_tree,1
0.94240724083,0.00135483906353,4,distance,30,ball_tree,1
0.924794429806,0.00225262437843,4,uniform,30,ball_tree,2
0.923116588366,0.00240739227239,4,distance,30,ball_tree,2
0.93906324557,0.00119802125871,6,uniform,30,ball_tree,1
0.942787143743,0.000709845321293,6,distance,30,ball_tree,1
0.916827813743,0.00222643647621,6,uniform,30,ball_tree,2
0.920576827271,0.00242686914597,6,distance,30,ball_tree,2
0.940556513687,0.00101833516578,1,uniform,40,ball_tree,1
0.940556513687,0.00101833516578,1,distance,40,ball_tree,1
0.91913067796,0.00182767996843,1,uniform,40,ball_tree,2
0.91913067796,0.00182767996843,1,distance,40,ball_tree,2
0.94933997888,0.00200581240742,2,uniform,40,ball_tree,1
0.940556513687,0.00101833516578,2,distance,40,ball_tree,1
0.930683148125,0.00238641648645,2,uniform,40,ball_tree,2
0.91913067796,0.00182767996843,2,distance,40,ball_tree,2
0.944195063969,0.00134164472413,4,uniform,40,ball_tree,1
0.94240724083,0.00135483906353,4,distance,40,ball_tree,1
0.924794429806,0.00225262437843,4,uniform,40,ball_tree,2
0.923116588366,0.00240739227239,4,distance,40,ball_tree,2
0.93906324557,0.00119802125871,6,uniform,40,ball_tree,1
0.942787143743,0.000709845321293,6,distance,40,ball_tree,1
0.916827813743,0.00222643647621,6,uniform,40,ball_tree,2
0.920576827271,0.00242686914597,6,distance,40,ball_tree,2
0.940556513687,0.00101833516578,1,uniform,20,kd_tree,1
