n,taining_data_set,cross_validation
1,1.0,0.921111111111
2,0.924703703704,0.866555555556
3,0.954296296296,0.913074074074
4,0.915444444444,0.87962962963
5,0.935222222222,0.904703703704
6,0.907518518519,0.880185185185
7,0.92362962963,0.899148148148
8,0.901555555556,0.87862962963
9,0.913518518519,0.893296296296
10,0.897111111111,0.876185185185
11,0.906407407407,0.888555555556
12,0.891074074074,0.873185185185
13,0.901333333333,0.884555555556
14,0.887851851852,0.872666666667
